model,group,k,no_mean,no_std,trust_mean,trust_std
dur_3s_equal,duration,20,0.41382,0.0,0.9531926530841331,0.0
dur_3s_equal,duration,21,0.41282857142857143,0.0,0.9522171522697129,0.0
dur_3s_equal,duration,22,0.41202727272727274,0.0,0.9510148169713314,0.0
dur_3s_equal,duration,23,0.41141739130434785,0.0,0.9497172324461716,0.0
dur_3s_equal,duration,24,0.41144166666666665,0.0,0.9485034728080536,0.0
dur_3s_equal,duration,25,0.411104,0.0,0.9476618591042089,0.0
dur_3s_equal,duration,26,0.4118076923076923,0.0,0.9467563647859206,0.0
dur_3s_equal,duration,27,0.4122074074074074,0.0,0.9457245273887157,0.0
dur_3s_equal,duration,28,0.4125285714285714,0.0,0.9450043875538381,0.0
dur_3s_equal,duration,29,0.4126206896551724,0.0,0.9442073476117151,0.0
dur_3s_equal,duration,30,0.4132,0.0,0.9434970459374589,0.0
dur_3s_equal,duration,31,0.4138258064516129,0.0,0.9427288742266839,0.0
dur_3s_equal,duration,32,0.41433125,0.0,0.9418924487548704,0.0
dur_3s_equal,duration,33,0.41526060606060605,0.0,0.9410077041602465,0.0
dur_3s_equal,duration,34,0.4163705882352941,0.0,0.9401994068103755,0.0
dur_3s_equal,duration,35,0.4169942857142857,0.0,0.939480598510188,0.0
dur_3s_equal,duration,36,0.4172111111111111,0.0,0.9387559522686836,0.0
dur_3s_equal,duration,37,0.41812432432432434,0.0,0.9379607018703486,0.0
dur_3s_equal,duration,38,0.4190473684210526,0.0,0.9371130170370702,0.0
dur_3s_equal,duration,39,0.4199025641025641,0.0,0.9362587758684324,0.0
dur_3s_equal,duration,40,0.420595,0.0,0.9354256988149912,0.0
dur_3s_equal,duration,41,0.4210048780487805,0.0,0.9346012164682572,0.0
dur_3s_equal,duration,42,0.42164285714285715,0.0,0.9337363830713056,0.0
dur_3s_equal,duration,43,0.4226279069767442,0.0,0.9329520489151248,0.0
dur_3s_equal,duration,44,0.4233363636363636,0.0,0.9322034905041552,0.0
dur_3s_equal,duration,45,0.4242666666666667,0.0,0.9315185665201354,0.0
dur_3s_equal,duration,46,0.4246478260869565,0.0,0.9309805939036965,0.0
dur_3s_equal,duration,47,0.4254425531914894,0.0,0.930245648189177,0.0
dur_3s_equal,duration,48,0.42630833333333334,0.0,0.9295219399373754,0.0
dur_3s_equal,duration,49,0.4271714285714286,0.0,0.9287766587154342,0.0
dur_3s_equal,duration,50,0.42794,0.0,0.9281594848122185,0.0
dur_3s_equal,duration,51,0.4283921568627451,0.0,0.9274568969565247,0.0
dur_3s_equal,duration,52,0.42917307692307693,0.0,0.9266614467453933,0.0
dur_3s_equal,duration,53,0.42971698113207546,0.0,0.9259569203928664,0.0
dur_3s_equal,duration,54,0.43066666666666664,0.0,0.9251050979595894,0.0
dur_3s_equal,duration,55,0.4316,0.0,0.9245518018719938,0.0
dur_3s_equal,duration,56,0.43236785714285714,0.0,0.9238964157091408,0.0
dur_3s_equal,duration,57,0.4328526315789474,0.0,0.9234155919999036,0.0
dur_3s_equal,duration,58,0.4334862068965517,0.0,0.9227677785999704,0.0
dur_3s_equal,duration,59,0.43440338983050847,0.0,0.9220958666426006,0.0
dur_3s_equal,duration,60,0.43509333333333333,0.0,0.9214502892822364,0.0
dur_3s_equal,duration,61,0.43573114754098363,0.0,0.9207882570034801,0.0
dur_3s_equal,duration,62,0.4362935483870968,0.0,0.9200769595030789,0.0
dur_3s_equal,duration,63,0.4367142857142857,0.0,0.9194507827227276,0.0
dur_3s_equal,duration,64,0.437465625,0.0,0.9187890530824867,0.0
dur_3s_equal,duration,65,0.4379938461538462,0.0,0.918126750781954,0.0
dur_3s_equal,duration,66,0.43855151515151514,0.0,0.9174766854896143,0.0
dur_3s_equal,duration,67,0.4391701492537313,0.0,0.9167431538410054,0.0
dur_3s_equal,duration,68,0.4397,0.0,0.9160469336310884,0.0
dur_3s_equal,duration,69,0.44039420289855075,0.0,0.9153812288146903,0.0
dur_3s_equal,duration,70,0.44102857142857144,0.0,0.9146051904679647,0.0
dur_3s_equal,duration,71,0.44159718309859153,0.0,0.9139387058611608,0.0
dur_3s_equal,duration,72,0.44235,0.0,0.9132726397935199,0.0
dur_3s_equal,duration,73,0.4429397260273973,0.0,0.9125940986870171,0.0
dur_3s_equal,duration,74,0.44370540540540543,0.0,0.911977980403807,0.0
dur_3s_equal,duration,75,0.44427466666666665,0.0,0.9113215640996036,0.0
dur_3s_equal,duration,76,0.44473684210526315,0.0,0.9106732953940908,0.0
dur_3s_equal,duration,77,0.44523636363636365,0.0,0.9100210370997472,0.0
dur_3s_equal,duration,78,0.4457051282051282,0.0,0.9094553724583213,0.0
dur_3s_equal,duration,79,0.4462886075949367,0.0,0.9087647587789636,0.0
dur_3s_equal,duration,80,0.4466925,0.0,0.9081200888464432,0.0
dur_3s_equal,duration,81,0.44720493827160496,0.0,0.9075651186666552,0.0
dur_3s_equal,duration,82,0.4476170731707317,0.0,0.9069097268445308,0.0
dur_3s_equal,duration,83,0.448033734939759,0.0,0.906313652523136,0.0
dur_3s_equal,duration,84,0.4483761904761905,0.0,0.9056728175638912,0.0
dur_3s_equal,duration,85,0.4487058823529412,0.0,0.9050883240482823,0.0
dur_3s_equal,duration,86,0.4491139534883721,0.0,0.9045035829589692,0.0
dur_3s_equal,duration,87,0.4495540229885058,0.0,0.9038696877307831,0.0
dur_3s_equal,duration,88,0.45002954545454543,0.0,0.9032727259517582,0.0
dur_3s_equal,duration,89,0.4505101123595506,0.0,0.9026583723416212,0.0
dur_3s_equal,duration,90,0.4511222222222222,0.0,0.9021916228674127,0.0
dur_3s_equal,duration,91,0.45165054945054944,0.0,0.9016520735057235,0.0
dur_3s_equal,duration,92,0.45199347826086955,0.0,0.9010869299318539,0.0
dur_3s_equal,duration,93,0.45246021505376344,0.0,0.9005018886131789,0.0
dur_3s_equal,duration,94,0.45291489361702125,0.0,0.899956636732304,0.0
